# Tab-separated symbol file for the Teufel Cinebar One STM32F072 firmware.
# Format: <address>\t<name>\t<type>\t<comment>
# Types: FUNC, LABEL (code), DATA (RAM/flash struct), PERIPH (MMIO region)
# Lines starting with # are ignored.
# Source: /tmp/firmware/symbols.md  ←  human-readable narrative
# Loader: /tmp/firmware/ghidra_load_symbols.py  ←  Ghidra Script Manager import
#
# Use with Ghidra: open Script Manager → run the companion ghidra_load_symbols.py
# Or for other tools (IDA, Binary Ninja, custom scripts): parse this file directly.

# === Boot / Reset / C runtime ===
0x080000C0	__main	FUNC	C runtime init
0x080000D4	Reset_Handler	FUNC	Calls SystemInit then __main
0x080000E6	Default_Handler	FUNC	Infinite-loop trap; all unused IRQ vectors point here
0x080001AC	__scatterload	FUNC	Copies .data initializers flash→RAM
0x08002EA0	SystemInit	FUNC	RCC/clock setup
0x080039D4	main	FUNC	Hardware init phase
0x08010A52	app_main	FUNC	Application init (no PUSH; never returns)
0x08010AA2	app_main_kernel_start_site	LABEL	bl osKernelStart inside app_main

# === Vector table entries (named handlers only) ===
0x08000000	g_vector_table	DATA	48-entry Cortex-M0 vector table (192 bytes)
0x08002400	NMI_Handler	FUNC
0x080020D8	HardFault_Handler	FUNC
0x08002DB4	SVC_Handler	FUNC	RTX5 SVC dispatcher
0x080027C4	PendSV_Handler	FUNC	RTX5 context switch
0x08002E34	SysTick_Handler	FUNC
0x08003988	USB_IRQHandler	FUNC	Only application IRQ wired to a real handler

# === RTX5 RTOS wrappers ===
0x08008C48	osKernelGetState	FUNC	Wrapper (SVC dispatch or direct)
0x08008C78	osKernelInitialize	FUNC	Wrapper
0x08008C9C	osKernelStart	FUNC	Wrapper; never returns
0x08008CC0	osMemoryPoolAlloc	FUNC	Wrapper
0x08008D74	osMessageQueueGet	FUNC	Wrapper
0x08008E10	osMessageQueuePut	FUNC	Wrapper — used by all 8 event-loop posters
0x08008EB8	osMutexNew	FUNC	Wrapper
0x08009784	osThreadNew	FUNC	Wrapper (one of two)
0x080097A8	osTimerIsRunning	FUNC	Wrapper
0x080097CC	osTimerNew	FUNC	Wrapper
0x080097F0	osTimerStart	FUNC	Wrapper
0x08009818	osTimerStop	FUNC	Wrapper
0x08009A40	svcRtxKernelStart_impl	FUNC	Privileged implementation
0x08009840	svcRtxKernelInitialize_impl	FUNC
0x08009854	svcRtxKernelGetState_impl	FUNC
0x08000DF0	__NVIC_EnableIRQ_v1	FUNC	CMSIS standard
0x0800DE74	__NVIC_EnableIRQ_v2	FUNC	Second copy
0x0800DE88	NVIC_SetPriority	FUNC	Wrapper
0x0800DEBC	osEventFlagsNew	FUNC	Wrapper (likely)
0x0800DFDC	osThreadNew_v2	FUNC	Alt creator
0x0800E1C4	osThreadNew_v3	FUNC	Alt creator
0x0800D66C	osKernelGetTickCount	FUNC	Reads osRtxInfo[12] (RTX5 1 ms tick)

# === RTX5 named-object attr structs ===
0x08011710	LED_Timer_attr	DATA	osTimerAttr_t for "LED Timer"
0x08011E38	Mutex_vEEPROM_attr	DATA	osMutexAttr_t for "Mutex vEEPROM"

# === Application state machine ===
0x0800A740	transition_state	FUNC	uint8_t transition_state(uint8_t action); 2 → state 1→3→settles 2; 1 → state 2→4→settles 1
0x0800A760	transition_state_set_state_3	LABEL	strb r0,#3 → state[0] (intermediate during active entry)
